,K006-1,K006-2,K006-3,K006-4,K007-1,K007-2,K007-3,K007-4,K008-1,K008-2,K008-3,K008-4,K009-1,K009-2,K009-3,K009-4,K010-1,K010-2,K010-3,K010-4,K011-1,K011-2,K011-3,K011-4,K012-1,K012-2,K012-3,K012-4,K013-1,K013-2,K013-3,K013-4,K014-1,K014-2,K014-3,K014-4,K015-1,K015-2,K015-3,K015-4
K006-1,-54.511673151750976,-63.18989547038328,-65.97608503100089,-59.78645066273932,-57.9324693042292,-70.48257372654156,-66.25207468879668,-62.634835752482815,-69.90819672131147,-65.74814814814815,-72.7248062015504,-71.21226993865031,-73.8639455782313,-68.55948553054662,-77.51165980795611,-74.86620926243567,-78.33760683760684,-76.5,-81.26133333333334,-50.76009944064637,-67.97417355371901,-41.33577405857741,-72.08785529715762,-69.45454545454545,-75.0171875,-59.05396174863388,-62.12955779674166,-72.05035971223022,-62.15163607342378,-70.32860824742268,-69.082497212932,-70.52573018080668,-68.86194477791116,-77.24063116370809,,-74.69483568075117,-82.135,-77.50416666666666,-80.10362694300518,-84.82213438735178
K006-2,-60.0820948336872,-61.151630022744506,-72.07209302325582,-58.08943616331821,-60.103971119133575,-63.76285495011512,-68.30344108446299,-72.94222833562586,-71.02105263157895,-79.37183544303798,-82.53882352941176,-75.49549549549549,-71.16742596810934,-77.42168674698796,-75.69852941176471,-77.91212653778558,-78.07606973058637,-88.48484848484848,-84.66187050359713,-52.97695852534562,-61.358231707317074,-37.64994829369183,-67.67313288069835,-65.80251694094869,-65.47940074906367,-60.09361702127659,-65.25041459369818,-69.33719806763285,-63.76592478894858,-73.2030534351145,-70.80344827586207,-71.44019933554817,-75.0,-83.31283422459893,-88.45454545454545,-77.20211161387633,-75.13095238095238,-82.44413407821229,-78.9553264604811,-78.91280148423006
K006-3,-60.94778761061947,-66.22311111111111,-56.64660601819454,-62.385313531353134,-55.4228432563791,-71.33127317676143,-63.714418604651165,-63.33886010362694,-65.53225806451613,-67.01338432122371,-69.61664841182913,-69.17711771177117,-74.80322003577818,-72.09836065573771,-80.6842105263158,-78.04021937842779,-78.22857142857143,-77.43302752293577,-78.42141623488774,-53.76535541752933,-68.51035781544256,-37.81442760062729,-69.45727482678984,-61.48049476688868,-65.05108225108225,-55.544914134742406,-59.56594724220624,-68.24421052631578,-62.57363710333605,-68.42841765339074,-70.45231607629428,-69.90719257540603,-73.4618320610687,-82.14077669902913,-86.875,-71.50171428571429,-82.98367346938775,-79.25792811839324,-77.92165898617512,-77.08565737051792
K006-4,-67.35932560590095,-67.34864546525324,-69.3342776203966,-57.08987341772152,-53.53898939488459,-68.293997965412,-64.50190839694656,-67.51724137931035,-63.56917978458989,-71.49159120310479,-72.9453717754173,-68.06695005313496,-68.76160602258469,-75.54307692307692,-79.47553816046967,-76.02850877192982,-79.844,-74.33203631647211,-81.16205533596838,-55.62604722010663,-62.5928636779506,-42.628240485383344,-74.45885634588564,-65.93820224719101,-64.92543021032505,-60.688988095238095,-63.20742534301856,-67.29170829170829,-66.97302904564316,-65.83716475095785,-72.88341968911917,-67.94035087719298,-70.96095717884131,-74.89876880984951,-86.55384615384615,-76.32178932178932,-76.59354838709677,-75.26037735849057,-75.09615384615384,-75.33802816901408
K007-1,-59.05555555555556,-70.08233890214797,-74.95016077170418,-55.71723220226215,-56.52676240208877,-68.06795016987543,-61.738646101113964,-59.59815950920245,-60.39967506092608,-64.98952879581152,-63.74841053587648,-66.09702315325248,-69.90096618357488,-63.25847457627118,-74.62992125984252,-72.3258785942492,-73.94224924012158,-74.5234375,-82.6774193548387,-52.07719298245614,-70.16914749661704,-43.57341040462428,-71.80193236714976,-69.49919484702093,-67.47932960893854,-62.36032028469751,-66.62920168067227,-60.16289592760181,-62.64206642066421,-67.86263736263736,-66.90604026845638,-67.31075268817204,-68.9937965260546,-74.74745762711865,-83.56470588235294,-75.04857142857144,-75.35701906412478,-80.3012048192771,-74.06532663316582,-83.21753246753246
K007-2,-63.9217238346526,-74.60211267605634,-64.00559179869525,-71.01709401709402,-69.70175438596492,-67.32565445026178,-59.734303215926495,-60.70007955449483,-63.07223672758921,-68.65288220551379,-70.68935643564356,-62.77957446808511,-75.85777777777778,-74.46525096525096,-75.8973063973064,-74.59621993127148,-77.50610820244329,-76.87781350482315,-85.73008849557522,-50.46728430804864,-63.5697896749522,-38.369531652084405,-65.59207920792079,-64.48068669527898,-61.40635738831615,-57.17269624573379,-64.68189964157706,-62.17937971500419,-67.9045643153527,-67.89596083231334,-66.12316715542522,-64.69660861594868,-72.77303070761015,-76.37569060773481,,-66.97568710359408,-74.48581560283688,-76.26384364820846,-71.70793650793651,-73.01633986928104
K007-3,-62.13416536661467,-77.34740882917467,-65.66078838174273,-65.26498127340824,-70.55868544600939,-66.53941441441441,-61.0869191049914,-57.12261753494282,-61.61388653683319,-59.228896103896105,-77.01344537815126,-63.51949085123309,-70.75409836065573,-77.00521739130434,-74.0364500792393,-71.31083202511773,-75.726,-73.30551816958277,-78.8876811594203,-53.035759096612296,-71.12021136063409,-44.65940594059406,-73.45484949832776,-69.3377358490566,-60.09553641346907,-57.75957926371149,-68.72513368983957,-66.44712041884817,-60.20137931034483,-75.03363914373088,-64.2251012145749,-61.33212341197822,-65.57918552036199,-68.56909547738694,-86.075,-70.02733485193622,-72.08431703204047,-72.74453781512605,-71.10859728506787,-74.8647619047619
K007-4,-65.8177028451001,-68.1156626506024,-66.65452091767881,-75.14345114345114,-61.5168439716312,-61.69047619047619,-63.30038387715931,-59.91854838709678,-56.20983606557377,-62.79494382022472,-69.93741109530583,-61.66731898238748,-73.26396648044692,-64.11252446183953,-72.66348773841962,-71.85058977719528,-75.70083102493075,-71.78629032258064,-79.07863247863249,-48.64525633470831,-75.1421568627451,-47.25040650406504,-66.80754226267881,-68.4580265095729,-62.14886164623468,-61.79407051282051,-72.30833333333334,-63.03623188405797,-64.92687747035573,-72.88121212121212,-68.51535836177474,-57.488052136133234,-63.70232558139535,-67.99872448979592,-88.0,-70.50211565585332,-71.38344827586207,-84.6829268292683,-71.49616368286445,-69.3924794359577
K008-1,-69.96148738379814,-69.80125786163522,-81.15686274509804,-71.88150289017341,-69.6837899543379,-75.1038062283737,-70.59188544152745,-59.35248447204969,-59.49096622152396,-65.70675944333996,-70.95280612244898,-60.17174082747853,-65.60105680317041,-67.05402298850575,-70.57590966122962,-66.81061394380853,-68.65544332210999,-69.44578313253012,-80.84357541899442,-54.94944707740916,-68.94893617021276,-46.21169463995669,-70.47469220246238,-66.97186700767263,-65.72876151484135,-62.94444444444444,-67.48264277715566,-60.84134248665141,-71.6923076923077,-71.26315789473684,-74.05646359583953,-59.3534107402032,-60.02983932670237,-66.65093167701863,,-64.66999002991027,-69.80125786163522,-68.83253012048193,-68.77092511013215,-68.6798418972332
K008-2,-73.08088235294117,-76.14285714285714,-76.79310344827586,-71.3935790725327,-74.23463687150839,-71.65444287729196,-58.421993127147765,-68.91078066914498,-65.95579567779961,-61.91503823279524,-63.46908734052993,-66.4989247311828,-65.75052192066806,-73.86043533930858,-66.95581896551724,-74.78351955307262,-72.04427083333333,-75.7136,-80.16111111111111,-51.79912115505336,-67.01541623843782,-43.37486515641856,-69.39531478770132,-74.34527687296416,-63.33800350262697,-61.53879310344828,-65.53393665158372,-61.95673469387755,-62.68824531516184,-61.51845637583892,-68.17018779342723,-61.0625,-61.48471223021583,-65.90818363273453,-85.128,-66.7607555089192,-71.79106628242074,-67.23905723905725,-66.8710843373494,-80.03304347826086
K008-3,-76.78296146044624,-74.42777777777778,-73.25859491778775,-69.1936,-66.06908665105387,-73.402124430956,-63.84199363732768,-66.50215208034433,-65.12753277711562,-71.35338345864662,-64.43487621097955,-59.69494290375204,-63.69122807017544,-62.70977011494253,-72.85763293310463,-62.9050505050505,-68.6910866910867,-66.46557759626604,-83.53472222222223,-51.10747957259585,-67.66945606694561,-47.60376282782212,-72.29110105580693,-68.71967213114755,-66.90425531914893,-63.88583509513742,-65.19883720930233,-64.71509009009009,-70.62096774193549,-62.27838104639684,-66.78756476683938,-64.6238425925926,-58.07791225416036,-66.38216560509554,-83.97872340425532,-64.0010905125409,-63.777222777222775,-64.01689189189189,-65.71348314606742,-70.46314325452016
K008-4,-69.625,-83.40186915887851,-75.9808362369338,-71.8696682464455,-65.78201058201059,-77.11284722222223,-63.79386385426654,-64.84102060843965,-56.51290760869565,-64.49056603773585,-67.09219088937093,-60.70425867507886,-64.10561370123692,-64.9599542334096,-72.26576576576576,-71.06826801517067,-66.44919278252611,-64.34631578947368,-78.39870689655173,-51.51686823679185,-74.66614906832298,-51.45576571079927,-80.30933333333333,-71.89391304347826,-77.36434108527132,-67.58971428571428,-67.54265402843602,-74.65335463258786,-73.72645739910314,-66.60275423728814,-71.2155388471178,-67.70230607966457,-55.49783013019219,-66.43390191897655,-86.95918367346938,-63.78239845261122,-65.88665997993982,-66.52597402597402,-68.8125,-69.02005012531329
K009-1,-70.95620437956204,-81.2741935483871,-75.56369982547993,-78.50862068965517,-71.38136826783115,-77.83403068340307,-67.12961011591149,-74.34722222222223,-67.61451247165533,-72.35244755244756,-75.8099173553719,-66.54347826086956,-59.933488012374326,-65.2557915057915,-68.21255060728745,-63.94189071986124,-58.48421759570181,-66.23628219484883,-71.56753407682776,-41.64615384615384,-76.94788273615636,-49.46993318485524,-80.12165450121654,-74.59116022099448,-75.97851002865329,-67.69491525423729,-66.65299684542586,-68.48812095032397,-71.65347721822542,-68.77543859649123,-67.56653225806451,-64.02859960552269,-60.52333588370314,-63.68283917340521,-81.38297872340425,-67.02944383860414,-60.76309616888194,-65.73997709049256,-69.02819237147595,-67.52173913043478
K009-2,-72.53615520282187,-76.4459234608985,-75.5639880952381,-78.2582056892779,-73.52373660030628,-81.90338164251207,-73.3089430894309,-63.558078602620085,-65.78767876787678,-69.62671660424469,-64.41388888888889,-69.45077105575326,-60.098765432098766,-62.530316742081446,-67.88901098901098,-60.3494837172359,-68.47005649717514,-67.30812013348165,-72.87354085603113,-45.17192147531232,-70.63665086887836,-51.83776414451261,-79.10917030567686,-70.49196141479099,-70.76683937823834,-68.36615044247787,-70.20998719590268,-70.8119658119658,-74.24309392265194,-74.94615384615385,-65.94730941704036,-68.27428571428571,-63.63905325443787,-62.059058260175576,-81.55357142857143,-61.59443990188062,-63.54827586206896,-62.02472089314195,-63.01672240802676,-65.44270323212537
K009-3,-78.49910873440285,-80.42056074766356,-76.35971223021583,-76.53452115812918,-74.47058823529412,-79.76348547717842,-77.30169491525423,-73.11111111111111,-77.58632478632478,-68.8358695652174,-68.32161874334399,-67.53838484546361,-58.62041884816754,-60.91286863270778,-61.98701298701299,-73.01117318435755,-63.22093023255814,-72.32981530343008,-72.23735955056179,-37.43453009503696,-76.12541254125412,-51.97975460122699,-77.76083188908146,-77.0,-74.72041420118343,-71.7247191011236,-72.91561712846348,-68.89807474518686,-75.8709122203098,-74.18040435458786,-74.24579124579125,-77.5585874799358,-66.39566395663957,-66.00422386483632,-80.17948717948718,-59.50803212851405,-59.26262626262626,-59.91382904794997,-63.11617900172117,-64.5088257866462
K009-4,-74.40439932318105,-89.13218390804597,-79.38051044083527,-78.2670349907919,-78.39102564102564,-81.79411764705883,-68.25395152792413,-75.61942675159236,-64.52529182879377,-68.58181818181818,-70.27027027027027,-68.37278761061947,-55.65965909090909,-73.53560830860535,-66.46603970741901,-68.2252358490566,-59.55074520936834,-67.3363329583802,-65.98289136013688,-36.609684947491246,-75.9186440677966,-52.36808236808237,-76.39763113367174,-77.1511111111111,-76.0,-70.58415841584159,-73.66623207301173,-73.61209439528024,-70.82171581769437,-68.78,-79.54564315352697,-69.48603351955308,-65.59149484536083,-67.59500542888165,-83.5125,-63.15675675675676,-62.1783295711061,-64.51544571932921,-65.58389261744966,-63.57948316366484
K010-1,-75.98039215686275,-83.38666666666667,-78.11669128508125,-78.61946902654867,-78.95238095238095,-82.72012578616352,-71.28739316239316,-83.48421052631579,-69.1573896353167,-70.20966183574879,-69.17263843648209,-77.18032786885246,-69.202216066482,-79.90528233151184,-65.75629569455727,-64.18029197080293,-58.54680977936792,-71.2110655737705,-80.05974842767296,-28.66490919742238,-75.20579710144928,-50.55891719745223,-88.0,-82.14893617021276,-76.24448897795591,-70.671875,-72.3595166163142,-79.28014184397163,-72.22348484848484,-72.39342403628117,-74.94663573085847,-66.31296449215525,-70.90795454545454,-70.84873949579831,-81.50403225806451,-72.44015444015444,-56.56352941176471,-69.9000999000999,-64.19058641975309,-62.380330123796426
K010-2,-77.28192771084338,-77.74306839186691,-83.00909090909092,-78.4382871536524,-77.38659793814433,-78.89772727272727,-82.728125,-78.17708333333333,-77.25199362041467,-70.06382978723404,-71.53567110036276,-71.02413431269675,-70.60529634300126,-66.83024118738405,-68.97936210131333,-64.93891213389121,-69.66395348837209,-59.96702557200538,-62.49767441860465,-34.45145364783324,-74.50530035335689,-49.88447867298578,-76.17785234899328,-78.73898305084745,-77.93037974683544,-71.5,-74.22238372093024,-84.95437262357414,-75.08695652173913,-72.58849557522124,-68.18388429752066,-69.181330472103,-62.38593866866118,-74.9738903394256,-74.20965517241379,-59.74700493305144,-57.842837273991655,-58.96064516129032,-62.05017667844523,-65.96358543417367
K010-3,-79.72244897959183,-80.38074398249454,-80.5440313111546,-79.20535714285714,-78.72277227722772,-78.26218487394958,-85.33962264150944,-78.80196399345336,-73.10082872928177,-74.08267716535433,-72.89733840304183,-69.72488262910798,-74.00244798041615,-69.87204724409449,-75.21052631578948,-66.49122807017544,-63.88556851311953,-58.35223880597015,-69.99903006789525,-34.57850779510022,-76.99552906110283,-46.48588490770901,-88.15957446808511,-77.168458781362,-77.1421568627451,-72.01760176017602,-72.25595984943538,-84.43103448275862,-73.9673202614379,-76.40610328638498,-69.19854280510019,-71.6489707475623,-65.97814207650273,-68.68720379146919,-77.83703703703704,-68.25490196078431,-72.59935897435898,-69.36690647482014,-62.88342165026495,-60.2655601659751
